Mes;Litros por vaca
2007-1;21.6
2007-2;20.6
2007-3;23.5
2007-4;24.1
2007-5;26.7
2007-6;25.6
2007-7;23.5
2007-8;22
2007-9;20.8
2007-10;21.2
2007-11;20.3
2007-12;21.4
2008-1;22
2008-2;20.8
2008-3;24
2008-4;24.7
2008-5;27.2
2008-6;26.3
2008-7;24.2
2008-8;22.6
2008-9;21.4
2008-10;21.5
2008-11;20.7
2008-12;21.9
2009-1;23
2009-2;22.7
2009-3;25.3
2009-4;25.9
2009-5;28.3
2009-6;27
2009-7;24.9
2009-8;23.5
2009-9;22.2
2009-10;22.4
2009-11;21.8
2009-12;23.3
2010-1;24.2
2010-2;22.8
2010-3;26
2010-4;26.5
2010-5;28.7
2010-6;27.7
2010-7;25.8
2010-8;24
2010-9;22.6
2010-10;22.8
2010-11;22.1
2010-12;23.3
2011-1;24.8
2011-2;23.3
2011-3;27
2011-4;27.7
2011-5;29.8
2011-6;29.3
2011-7;27
2011-8;25.6
2011-9;24.3
2011-10;24.5
2011-11;23.7
2011-12;25.3
2012-1;26.2
2012-2;24.5
2012-3;28
2012-4;28.8
2012-5;30.7
2012-6;30
2012-7;28.2
2012-8;26.5
2012-9;25
2012-10;25.2
2012-11;24.2
2012-12;25.6
2013-1;26.3
2013-2;25.5
2013-3;28.4
2013-4;29.2
2013-5;31.5
2013-6;30.3
2013-7;28.7
2013-8;27.2
2013-9;25.7
2013-10;25.9
2013-11;24.8
2013-12;26.1
2014-1;26.9
2014-2;25.3
2014-3;28.8
2014-4;29.5
2014-5;32
2014-6;31
2014-7;29.4
2014-8;28
2014-9;26.6
2014-10;26.5
2014-11;25.3
2014-12;26.9
2015-1;27.5
2015-2;25.9
2015-3;29.6
2015-4;30.2
2015-5;32.5
2015-6;31.5
2015-7;30.1
2015-8;28.7
2015-9;27.2
2015-10;27.4
2015-11;26.1
2015-12;27.6
2016-1;29.5
2016-2;27.7
2016-3;31.6
2016-4;32.2
2016-5;34.6
2016-6;33.5
2016-7;31.9
2016-8;30.6
2016-9;29
2016-10;29.4
2016-11;28
2016-12;29.4
2017-1;30.3
2017-2;29.3
2017-3;32.7
2017-4;33
2017-5;35.3
2017-6;34.3
2017-7;32.8
2017-8;31.4
2017-9;29.7
2017-10;29.7
2017-11;28.1
2017-12;29.5
2018-1;30.1
2018-2;28.4
2018-3;32.4
2018-4;33
2018-5;35.1
2018-6;33.9
2018-7;32.3
2018-8;30.7
2018-9;28.8
2018-10;29
2018-11;27.9
2018-12;29.4
2019-1;30.4
2019-2;28.6
2019-3;32.6
2019-4;33.1
2019-5;35.6
2019-6;34.8
2019-7;33.3
2019-8;31.8
2019-9;29.9
2019-10;29.8
2019-11;28.4
2019-12;29.8
2020-1;30.6
2020-2;28.7
2020-3;32.7
2020-4;33.1
2020-5;35.5
2020-6;34.4
2020-7;32.9
2020-8;31.5
2020-9;30
2020-10;30.4
2020-11;29.3
2020-12;30.9
